technique,threshold,portal1,portal2,match_percentage
NEL,0.7,Globo G1,NDONLINE,0.0
NEL,0.7,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.8,RIC MAIS,Jornal de SC,0.0
NEL,0.8,RIC MAIS,Globo G1,0.0
NEL,0.8,RIC MAIS,DIARIO CATARINENSE,0.0
NEL,0.8,RIC MAIS,NDONLINE,0.06706476802939826
NEL,0.8,Jornal de SC,Globo G1,0.0
NEL,0.8,Jornal de SC,DIARIO CATARINENSE,0.2653010242318261
NEL,0.8,Jornal de SC,NDONLINE,0.0
NEL,0.8,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.8,Globo G1,NDONLINE,0.0
NEL,0.8,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.9,RIC MAIS,Jornal de SC,0.0
NEL,0.9,RIC MAIS,Globo G1,0.0
NEL,0.9,RIC MAIS,DIARIO CATARINENSE,0.0
NEL,0.9,RIC MAIS,NDONLINE,0.04019292604501608
NEL,0.9,Jornal de SC,Globo G1,0.0
NEL,0.9,Jornal de SC,DIARIO CATARINENSE,0.15438421184111917
NEL,0.9,Jornal de SC,NDONLINE,0.0
NEL,0.9,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.9,Globo G1,NDONLINE,0.0
NEL,0.9,DIARIO CATARINENSE,NDONLINE,0.0
TF-IDF,0.5,RIC MAIS,Jornal de SC,0.057797537619699045
TF-IDF,0.5,RIC MAIS,Globo G1,0.0035876584549150922
TF-IDF,0.5,RIC MAIS,DIARIO CATARINENSE,0.05245316681534344
TF-IDF,0.5,RIC MAIS,NDONLINE,0.11529627928341754
TF-IDF,0.5,Jornal de SC,Globo G1,0.0023264831329972858
TF-IDF,0.5,Jornal de SC,DIARIO CATARINENSE,0.3809642767924057
TF-IDF,0.5,Jornal de SC,NDONLINE,0.014898255813953489
TF-IDF,0.5,Globo G1,DIARIO CATARINENSE,0.004280821917808219
TF-IDF,0.5,Globo G1,NDONLINE,0.13456221198156681
TF-IDF,0.5,DIARIO CATARINENSE,NDONLINE,0.01315265045834994
TF-IDF,0.6,RIC MAIS,Jornal de SC,0.017783857729138167
TF-IDF,0.6,RIC MAIS,Globo G1,0.00047835446065534564
TF-IDF,0.6,RIC MAIS,DIARIO CATARINENSE,0.01462979482604817
TF-IDF,0.6,RIC MAIS,NDONLINE,0.10564997703261368
TF-IDF,0.6,Jornal de SC,Globo G1,0.0007754943776657619
TF-IDF,0.6,Jornal de SC,DIARIO CATARINENSE,0.36347739195603296
TF-IDF,0.6,Jornal de SC,NDONLINE,0.006904069767441861
TF-IDF,0.6,Globo G1,DIARIO CATARINENSE,0.0017123287671232876
TF-IDF,0.6,Globo G1,NDONLINE,0.054377880184331796
TF-IDF,0.6,DIARIO CATARINENSE,NDONLINE,0.0031885213232363493
TF-IDF,0.7,RIC MAIS,Jornal de SC,0.00786593707250342
TF-IDF,0.7,RIC MAIS,Globo G1,0.00047835446065534564
TF-IDF,0.7,RIC MAIS,DIARIO CATARINENSE,0.004103479036574487
TF-IDF,0.7,RIC MAIS,NDONLINE,0.09853008727606799
TF-IDF,0.7,Jornal de SC,Globo G1,0.0
TF-IDF,0.7,Jornal de SC,DIARIO CATARINENSE,0.3547339495378466
TF-IDF,0.7,Jornal de SC,NDONLINE,0.003633720930232558
TF-IDF,0.7,Globo G1,DIARIO CATARINENSE,0.0
TF-IDF,0.7,Globo G1,NDONLINE,0.018433179723502304
TF-IDF,0.7,DIARIO CATARINENSE,NDONLINE,0.0015942606616181746
TF-IDF,0.8,RIC MAIS,Jornal de SC,0.0027359781121751026
TF-IDF,0.8,RIC MAIS,Globo G1,0.0
TF-IDF,0.8,RIC MAIS,DIARIO CATARINENSE,0.0014272970561998216
TF-IDF,0.8,RIC MAIS,NDONLINE,0.09370693615066605
TF-IDF,0.8,Jornal de SC,Globo G1,0.0
TF-IDF,0.8,Jornal de SC,DIARIO CATARINENSE,0.34499125655758184
TF-IDF,0.8,Jornal de SC,NDONLINE,0.0029069767441860465
TF-IDF,0.8,Globo G1,DIARIO CATARINENSE,0.0
TF-IDF,0.8,Globo G1,NDONLINE,0.0018433179723502304
TF-IDF,0.8,DIARIO CATARINENSE,NDONLINE,0.0
TF-IDF,0.9,RIC MAIS,Jornal de SC,0.0006839945280437756
TF-IDF,0.9,RIC MAIS,Globo G1,0.0
TF-IDF,0.9,RIC MAIS,DIARIO CATARINENSE,0.0003568242640499554
TF-IDF,0.9,RIC MAIS,NDONLINE,0.07533302710151585
TF-IDF,0.9,Jornal de SC,Globo G1,0.0
TF-IDF,0.9,Jornal de SC,DIARIO CATARINENSE,0.32875343492380715
TF-IDF,0.9,Jornal de SC,NDONLINE,0.0014534883720930232
TF-IDF,0.9,Globo G1,DIARIO CATARINENSE,0.0
TF-IDF,0.9,Globo G1,NDONLINE,0.0
TF-IDF,0.9,DIARIO CATARINENSE,NDONLINE,0.0
BOW,0.5,RIC MAIS,Jornal de SC,0.08207934336525308
BOW,0.5,RIC MAIS,Globo G1,0.01363310212867735
BOW,0.5,RIC MAIS,DIARIO CATARINENSE,0.1214986619090098
BOW,0.5,RIC MAIS,NDONLINE,0.15112540192926044
BOW,0.5,Jornal de SC,Globo G1,0.0015509887553315238
BOW,0.5,Jornal de SC,DIARIO CATARINENSE,0.39445415938046463
BOW,0.5,Jornal de SC,NDONLINE,0.019622093023255814
BOW,0.5,Globo G1,DIARIO CATARINENSE,0.014126712328767123
BOW,0.5,Globo G1,NDONLINE,0.19539170506912443
BOW,0.5,DIARIO CATARINENSE,NDONLINE,0.04862495017935432
BOW,0.6,RIC MAIS,Jornal de SC,0.027017783857729138
BOW,0.6,RIC MAIS,Globo G1,0.0016742406122937097
BOW,0.6,RIC MAIS,DIARIO CATARINENSE,0.036574487065120426
BOW,0.6,RIC MAIS,NDONLINE,0.11208084519981626
BOW,0.6,Jornal de SC,Globo G1,0.0007754943776657619
BOW,0.6,Jornal de SC,DIARIO CATARINENSE,0.37147139645266053
BOW,0.6,Jornal de SC,NDONLINE,0.007994186046511628
BOW,0.6,Globo G1,DIARIO CATARINENSE,0.003424657534246575
BOW,0.6,Globo G1,NDONLINE,0.07465437788018434
BOW,0.6,DIARIO CATARINENSE,NDONLINE,0.009166998804304504
BOW,0.7,RIC MAIS,Jornal de SC,0.009062927496580027
BOW,0.7,RIC MAIS,Globo G1,0.0009567089213106913
BOW,0.7,RIC MAIS,DIARIO CATARINENSE,0.006779661016949152
BOW,0.7,RIC MAIS,NDONLINE,0.10312356453835554
BOW,0.7,Jornal de SC,Globo G1,0.0
BOW,0.7,Jornal de SC,DIARIO CATARINENSE,0.3599800149887584
BOW,0.7,Jornal de SC,NDONLINE,0.003997093023255814
BOW,0.7,Globo G1,DIARIO CATARINENSE,0.0
BOW,0.7,Globo G1,NDONLINE,0.025806451612903226
BOW,0.7,DIARIO CATARINENSE,NDONLINE,0.0023913909924272616
BOW,0.8,RIC MAIS,Jornal de SC,0.004274965800273598
BOW,0.8,RIC MAIS,Globo G1,0.0
BOW,0.8,RIC MAIS,DIARIO CATARINENSE,0.0026761819803746653
BOW,0.8,RIC MAIS,NDONLINE,0.09669269637115296
BOW,0.8,Jornal de SC,Globo G1,0.0
BOW,0.8,Jornal de SC,DIARIO CATARINENSE,0.3494878840869348
BOW,0.8,Jornal de SC,NDONLINE,0.0029069767441860465
