technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,Agglomerative,link=complete,8.0,0.5763158424198412,0.401648521522273,0.47338413253572004
Doc2Vec,Agglomerative,link=complete,5.0,0.44778671662284575,0.40343407671254866,0.4244549052356186
Doc2Vec,Agglomerative,link=complete,10.0,0.6007544325483827,0.3933540302178474,0.47541930496513973
Doc2Vec,Agglomerative,link=complete,15.0,0.6140063553827958,0.33448111493843335,0.43305480937595636
Doc2Vec,Agglomerative,link=complete,20.0,0.6392819798211808,0.31353981990056934,0.4207299977337766
Doc2Vec,Agglomerative,link=complete,25.0,0.656551959018437,0.29928622730958065,0.41115109577743947
Doc2Vec,Agglomerative,link=complete,30.0,0.6647141551321957,0.2907751800699928,0.40457254944187815
Doc2Vec,Agglomerative,link=complete,35.0,0.6796200103756195,0.2846914433213262,0.40128529205398283
Doc2Vec,Agglomerative,link=complete,40.0,0.6891337792438177,0.2785381620922908,0.39672547711004885
Doc2Vec,Agglomerative,link=complete,45.0,0.6939571543802772,0.26678631720108337,0.3854062587752476
Doc2Vec,Agglomerative,link=complete,50.0,0.6985242760844499,0.2641249189038756,0.3833123607929288
Doc2Vec,Agglomerative,link=complete,55.0,0.7039256272996418,0.2607415332013561,0.38053051837384505
Doc2Vec,Agglomerative,link=complete,60.0,0.7094219569030001,0.2579962340617644,0.37838484938798855
Doc2Vec,Agglomerative,link=complete,65.0,0.7150086331540154,0.2572842140569879,0.37840540481744317
Doc2Vec,Agglomerative,link=complete,70.0,0.7215183551402129,0.2561306012615616,0.378055801958774
Doc2Vec,Agglomerative,link=complete,75.0,0.7249685994318316,0.25226965616154856,0.37429476027939174
Doc2Vec,Agglomerative,link=complete,80.0,0.7273205309787768,0.24504811099911078,0.3665863223328268
Doc2Vec,Agglomerative,link=complete,85.0,0.7301212979091866,0.24290476207104666,0.36453276524831735
Doc2Vec,Agglomerative,link=complete,90.0,0.7328891397756946,0.24085688217209617,0.36256146716998433
Doc2Vec,Agglomerative,link=complete,95.0,0.7369833732863097,0.2396588391700321,0.3616976155171195
Doc2Vec,Agglomerative,link=complete,100.0,0.7449015678776583,0.23807387230640342,0.3608261071477802
Doc2Vec,Agglomerative,link=complete,105.0,0.74851165086023,0.23704632392874628,0.3600639227585688
Doc2Vec,Agglomerative,link=complete,110.0,0.7517205264706092,0.23496190190641755,0.35801931710115836
Doc2Vec,Agglomerative,link=complete,115.0,0.7574883115746518,0.23357810079738364,0.3570551458208542
Doc2Vec,Agglomerative,link=complete,120.0,0.7613234142422821,0.23244266437869646,0.35614828613576777
Doc2Vec,Agglomerative,link=complete,125.0,0.7638349508019084,0.23205078093423367,0.3559615148405529
Doc2Vec,Agglomerative,link=complete,130.0,0.7667919814440783,0.2306529815733482,0.3546318109253356
Doc2Vec,Agglomerative,link=complete,135.0,0.7725805477376226,0.23115504838023157,0.35584250390368183
Doc2Vec,Agglomerative,link=complete,140.0,0.7753290231701685,0.2304712573443341,0.35532114732395237
Doc2Vec,Agglomerative,link=complete,145.0,0.7766947460573723,0.22930364339671291,0.3540739964299293
Doc2Vec,Agglomerative,link=complete,150.0,0.777725479166685,0.22770256121290436,0.3522680418977152
Doc2Vec,Agglomerative,link=complete,155.0,0.7801145293938121,0.22725484133207996,0.3519757672808591
Doc2Vec,Agglomerative,link=complete,160.0,0.7832022849096951,0.2266810592520389,0.3515992705064637
Doc2Vec,Agglomerative,link=complete,165.0,0.7840323274706008,0.22604759361940033,0.35091999602030577
Doc2Vec,Agglomerative,link=complete,170.0,0.7857856926070718,0.22550870440709678,0.35044496242565715
Doc2Vec,Agglomerative,link=complete,175.0,0.787338042184256,0.22501467383773144,0.35000175325905003
Doc2Vec,Agglomerative,link=complete,180.0,0.7933270514508257,0.22450491045755727,0.3499709683228777
Doc2Vec,Agglomerative,link=complete,185.0,0.7954906924836401,0.22365169078253583,0.34914226176239743
Doc2Vec,Agglomerative,link=complete,190.0,0.7969050945416916,0.22270942682277853,0.3481281859344785
Doc2Vec,Agglomerative,link=complete,195.0,0.7977070978635589,0.22176301313146618,0.3470468191478807
Doc2Vec,Agglomerative,link=complete,200.0,0.7980594575067705,0.22106696650997987,0.3462270807781984
Doc2Vec,Agglomerative,link=complete,205.0,0.7994394414210177,0.22077621611145654,0.3459998159880636
Doc2Vec,Agglomerative,link=complete,210.0,0.800013413281755,0.22007541255345014,0.3451920607641652
Doc2Vec,Agglomerative,link=complete,215.0,0.8025791776149057,0.21904974006528738,0.3441655912355262
Doc2Vec,Agglomerative,link=complete,220.0,0.8037329094263,0.21871016328556792,0.3438520159217667
Doc2Vec,Agglomerative,link=complete,225.0,0.8048546870656018,0.21814242128300637,0.34325209481948316
Doc2Vec,Agglomerative,link=complete,230.0,0.8057201654844637,0.2174465214844479,0.34246824003525
Doc2Vec,Agglomerative,link=complete,235.0,0.8076978208576625,0.21721084745041402,0.34235387713514775
Doc2Vec,Agglomerative,link=complete,240.0,0.8085491266531115,0.2162753248524695,0.34126669161568085
Doc2Vec,Agglomerative,link=complete,245.0,0.8113531878568306,0.21570907832507405,0.34080942141770826
Doc2Vec,Agglomerative,link=complete,250.0,0.8121003760435063,0.21518898926121466,0.34022557811180604
Doc2Vec,Agglomerative,link=complete,255.0,0.8133039049503001,0.21496191074377,0.3400470165498554
Doc2Vec,Agglomerative,link=complete,260.0,0.8142741080933229,0.21460993356024272,0.33969097617042104
Doc2Vec,Agglomerative,link=complete,265.0,0.8161622322907812,0.21463139984012425,0.3398818870292843
Doc2Vec,Agglomerative,link=complete,270.0,0.8173409074572479,0.2145298516703291,0.3398565606978628
Doc2Vec,Agglomerative,link=complete,275.0,0.8173954959817443,0.21364877543152075,0.33875470064998303
Doc2Vec,Agglomerative,link=complete,280.0,0.8179601599320541,0.21331613501824928,0.3383847777166702
Doc2Vec,Agglomerative,link=complete,285.0,0.8189487881587584,0.2130458204984152,0.33812893024022617
Doc2Vec,Agglomerative,link=complete,290.0,0.8199880669545041,0.21287081489702467,0.33799685723868855
Doc2Vec,Agglomerative,link=complete,295.0,0.8239785665081121,0.21303047918836673,0.3385361961742098
Doc2Vec,Agglomerative,link=complete,300.0,0.8258702378673933,0.21290975378779736,0.3385429646653855
Doc2Vec,Agglomerative,link=average,8.0,0.013956241459357291,0.12618875441828462,0.025132837816838248
Doc2Vec,Agglomerative,link=average,5.0,0.0021725704529439974,0.09577989451612548,0.004248766355752972
Doc2Vec,Agglomerative,link=average,10.0,0.014125458211963274,0.1197364072818706,0.02526980497800677
Doc2Vec,Agglomerative,link=average,15.0,0.017148879012267863,0.10156676180552125,0.029343329958418023
Doc2Vec,Agglomerative,link=average,20.0,0.021797553292865,0.11332664370730469,0.03656256407885844
Doc2Vec,Agglomerative,link=average,25.0,0.3193456577076564,0.5034859880552065,0.3908115708238502
Doc2Vec,Agglomerative,link=average,30.0,0.3363468432063463,0.44465982827704814,0.38299270672706687
Doc2Vec,Agglomerative,link=average,35.0,0.3375584150336624,0.44129417215928446,0.3825179854754142
Doc2Vec,Agglomerative,link=average,40.0,0.3395799306867974,0.42544514011513124,0.3776938474444748
Doc2Vec,Agglomerative,link=average,45.0,0.6247944176634116,0.5358636417071572,0.5769220473926399
Doc2Vec,Agglomerative,link=average,50.0,0.6390351589290284,0.4756334309660513,0.5453575850342374
Doc2Vec,Agglomerative,link=average,55.0,0.6398620685428635,0.46881962955917705,0.5411470189447009
Doc2Vec,Agglomerative,link=average,60.0,0.6414706446769568,0.4617436114396324,0.5369672671712555
Doc2Vec,Agglomerative,link=average,65.0,0.6457610281884179,0.45578260048826874,0.5343894387102536
Doc2Vec,Agglomerative,link=average,70.0,0.6467722558754565,0.436214671283932,0.521024843268042
Doc2Vec,Agglomerative,link=average,75.0,0.6472269134582211,0.4328757543489437,0.5187818653702014
Doc2Vec,Agglomerative,link=average,80.0,0.6495018655432235,0.4275474593355596,0.5156548841956974
Doc2Vec,Agglomerative,link=average,85.0,0.6507040735709199,0.42140458852128837,0.5115333772924892
Doc2Vec,Agglomerative,link=average,90.0,0.6514997782510158,0.41568480306633104,0.5075383617063316
